"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"1","andre-iguodala","Golden State Warriors","3/24/17",2016,3,2,35,"shot_n","Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,34
"2","andre-iguodala","Golden State Warriors","11/3/16",2016,2,10,51,"shot_n","Alley Oop Dunk Shot","2PT Field Goal",1,"Oklahoma City Thunder",-12,13,14
"3","andre-iguodala","Golden State Warriors","10/25/16",2016,2,0,6,"shot_n","Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,24
"4","andre-iguodala","Golden State Warriors","11/3/16",2016,2,11,10,"shot_n","Alley Oop Layup shot","2PT Field Goal",1,"Oklahoma City Thunder",-1,11,13
"5","andre-iguodala","Golden State Warriors","1/8/17",2016,4,0,32,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,48
"6","andre-iguodala","Golden State Warriors","3/16/17",2016,3,5,30,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,31
"7","andre-iguodala","Golden State Warriors","1/2/17",2016,4,7,57,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,41
"8","andre-iguodala","Golden State Warriors","12/7/16",2016,4,9,31,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,39
"9","andre-iguodala","Golden State Warriors","2/28/17",2016,2,0,23,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,24
"10","andre-iguodala","Golden State Warriors","2/1/17",2016,2,0,2,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,24
"11","andre-iguodala","Golden State Warriors","11/25/16",2016,1,0,44,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,12
"12","andre-iguodala","Golden State Warriors","2/13/17",2016,1,0,41,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,12
"13","andre-iguodala","Golden State Warriors","12/28/16",2016,2,3,34,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,21
"14","andre-iguodala","Golden State Warriors","3/28/17",2016,3,5,56,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,31
"15","andre-iguodala","Golden State Warriors","12/7/16",2016,3,3,23,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,33
"16","andre-iguodala","Golden State Warriors","11/16/16",2016,2,1,23,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,23
"17","andre-iguodala","Golden State Warriors","11/18/16",2016,1,3,36,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,9
"18","andre-iguodala","Golden State Warriors","2/13/17",2016,1,1,3,"shot_n","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,11
